,Campaign,Ad_group,Keyword_type,Search_keyword,Clicks,Impressions,Cost,Leads,Prospects,CTR,CPC,Weeks,Region
286,EK_Generic_Quad-Tok_Pilates,Pilates_Studio_Management_Software_Exact,Exact,pilates studio management software,0,0,0,0,0,0,0,29-03-2021,
287,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_App_Exact,Exact,yoga studio app,0,2,0,0,0,0,0,29-03-2021,
288,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Exact,Exact,yoga studio booking software,0,7,0,0,0,0,0,29-03-2021,
289,EK_Generic_Swimming,Pool_Reservation_Software_Exact,Exact,pool reservation software,0,1,0,0,0,0,0,29-03-2021,
290,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Generic_Software_Phrase,Phrase,yoga studio management software,0,5,0,0,0,0,0,29-03-2021,
291,EK_Generic_Quad-Tok_Pilates,Pilates_Studio_Booking_Software_Broad,Broad,pilates studio booking software,0,34,0,0,0,0,0,29-03-2021,
292,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,11,260,89.95,0,0,4.230769231,8.177272727,05-04-2021,
293,EK_Generic_Swimming_Singapore,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,7,34,6.27,0,0,20.58823529,0.895714286,05-04-2021,Singapore
294,EK_Generic_Swimming,Pool_Reservation_Software_Broad,Broad,pool reservation software,4,20,10.14,0,0,20,2.535,05-04-2021,
295,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,booking management software,3,29,33.33,1,0,10.34482759,11.11,05-04-2021,
296,EK_Generic_Swimming,Pool_Reservation_Software_Open_Broad,Broad,pool reservation software,1,1,6.82,0,0,100,6.82,05-04-2021,
297,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_App_Exact,Exact,yoga studio app,1,11,3.82,0,0,9.090909091,3.82,05-04-2021,
298,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Exact,Exact,yoga studio booking software,1,5,23.96,1,0,20,23.96,05-04-2021,
299,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_App_Phrase,Phrase,yoga studio app,1,8,2.67,0,0,12.5,2.67,05-04-2021,
300,EK_Generic_Swimming_Singapore,Swimming_Pool_Reservation_System_Exact,Exact,swimming pool reservation system,0,1,0,0,0,0,0,05-04-2021,Singapore
301,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_Software_Exact,Exact,yoga studio software,0,4,0,0,0,0,0,05-04-2021,
302,EK_Generic_Tri-Tok_Pilates,Pilates_Studio_Software_Exact,Exact,pilates studio software,0,0,0,0,0,0,0,05-04-2021,
303,EK_Generic_Quad-Tok_Pilates,Pilates_Studio_Management_Software_Exact,Exact,pilates studio management software,0,1,0,0,0,0,0,05-04-2021,
304,EK_Generic_Swimming,Swimming_Pool_Reservation_System_Exact,Exact,swimming pool reservation system,0,2,0,0,0,0,0,05-04-2021,
305,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,reservation management system,0,12,0,0,0,0,0,05-04-2021,
306,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_Software_Phrase,Phrase,yoga studio software,0,0,0,0,0,0,0,05-04-2021,
307,EK_Generic_Swimming,Pool_Scheduling_Software_Phrase,Phrase,pool scheduling software,0,8,0,0,0,0,0,05-04-2021,
308,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Exact,Exact,reservation management system,0,12,0,0,0,0,0,05-04-2021,
309,EK_Generic_Quad-Tok_Pilates,Pilates_Studio_Booking_Software_Broad,Broad,pilates studio booking software,0,51,0,0,0,0,0,05-04-2021,
310,EK_Generic_Swimming_Canada,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,1,0,0,0,0,0,05-04-2021,Canada
311,EK_Generic_Swimming,Pool_Reservation_Software_Exact,Exact,pool reservation software,0,0,0,0,0,0,0,05-04-2021,
312,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Generic_Software_Phrase,Phrase,yoga studio management software,0,0,0,0,0,0,0,05-04-2021,
313,EK_Generic_Swimming_UK,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,1,0,0,0,0,0,05-04-2021,UK
314,EK_Generic_Swimming,Pool_Reservation_Software_Broad,Broad,pool reservation software,5,18,10.57,0,3,27.77777778,2.114,12-04-2021,
315,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,reservation management system,2,6,19.64,0,1,33.33333333,9.82,12-04-2021,
316,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,9,201,71.38,1,0,4.47761194,7.931111111,12-04-2021,
317,EK_Generic_Quad-Tok_Pilates,Pilates_Studio_Booking_Software_Broad,Broad,pilates studio booking software,2,31,19.81,0,0,6.451612903,9.905,12-04-2021,
318,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_App_Phrase,Phrase,yoga studio app,2,10,4.54,0,0,20,2.27,12-04-2021,
319,EK_Generic_Swimming_Singapore,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,1,15,0.71,0,0,6.666666667,0.71,12-04-2021,Singapore
320,EK_Generic_Swimming_UK,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,1,1,0.74,0,0,100,0.74,12-04-2021,UK
321,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_App_Exact,Exact,yoga studio app,1,6,3.42,0,0,16.66666667,3.42,12-04-2021,
322,EK_Generic_Swimming,Pool_Reservation_Software_Exact,Exact,pool reservation software,1,1,6.4,0,0,100,6.4,12-04-2021,
323,EK_Generic_Tri-Tok_Pilates,Pilates_Studio_Software_Phrase,Phrase,pilates studio software,0,0,0,0,0,0,0,12-04-2021,
324,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,booking management software,0,15,0,0,0,0,0,12-04-2021,
325,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_Software_Exact,Exact,yoga studio software,0,3,0,0,0,0,0,12-04-2021,
326,EK_Generic_Tri-Tok_Pilates,Pilates_Studio_Software_Exact,Exact,pilates studio software,0,0,0,0,0,0,0,12-04-2021,
327,EK_Generic_Swimming,Pool_Reservation_System_Exact,Exact,pool reservation system,0,1,0,0,0,0,0,12-04-2021,
328,EK_Generic_Swimming,Pool_Scheduling_Software_Phrase,Phrase,pool scheduling software,0,1,0,0,0,0,0,12-04-2021,
329,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Exact,Exact,reservation management system,0,8,0,0,0,0,0,12-04-2021,
330,EK_Generic_Swimming_UK,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,1,0,0,0,0,0,12-04-2021,UK
331,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Exact,Exact,yoga studio booking software,0,4,0,0,0,0,0,12-04-2021,
